daily,daily_accident
2018-01-01,234
2018-01-02,408
2018-01-03,231
2018-01-04,225
2018-01-05,342
2018-01-06,330
2018-01-07,322
2018-01-08,313
2018-01-09,328
2018-01-10,382
2018-01-11,390
2018-01-12,338
2018-01-13,266
2018-01-14,211
2018-01-15,341
2018-01-16,435
2018-01-17,339
2018-01-18,384
2018-01-19,504
2018-01-20,271
2018-01-21,240
2018-01-22,306
2018-01-23,317
2018-01-24,353
2018-01-25,395
2018-01-26,418
2018-01-27,308
2018-01-28,235
2018-01-29,368
2018-01-30,401
2018-01-31,369
2018-02-01,208
2018-02-02,432
2018-02-03,230
2018-02-04,180
2018-02-05,378
2018-02-06,274
2018-02-07,421
2018-02-08,320
2018-02-09,333
2018-02-10,314
2018-02-11,498
2018-02-12,269
2018-02-13,379
2018-02-14,347
2018-02-15,369
2018-02-16,402
2018-02-17,341
2018-02-18,257
2018-02-19,311
2018-02-20,333
2018-02-21,314
2018-02-22,307
2018-02-23,364
2018-02-24,309
2018-02-25,243
2018-02-26,255
2018-02-27,349
2018-02-28,291
2018-03-01,258
2018-03-02,304
2018-03-03,163
2018-03-04,255
2018-03-05,325
2018-03-06,284
2018-03-07,454
2018-03-08,358
2018-03-09,338
2018-03-10,350
2018-03-11,292
2018-03-12,382
2018-03-13,339
2018-03-14,278
2018-03-15,313
2018-03-16,337
2018-03-17,293
2018-03-18,207
2018-03-19,300
2018-03-20,341
2018-03-21,360
2018-03-22,295
2018-03-23,353
2018-03-24,262
2018-03-25,224
2018-03-26,329
2018-03-27,307
2018-03-28,298
2018-03-29,363
2018-03-30,264
2018-03-31,223
2018-04-01,295
2018-04-02,234
2018-04-03,167
2018-04-04,243
2018-04-05,387
2018-04-06,307
2018-04-07,396
2018-04-08,309
2018-04-09,308
2018-04-10,354
2018-04-11,233
2018-04-12,491
2018-04-13,285
2018-04-14,315
2018-04-15,236
2018-04-16,323
2018-04-17,281
2018-04-18,451
2018-04-19,444
2018-04-20,453
2018-04-21,400
2018-04-22,270
2018-04-23,298
2018-04-24,312
2018-04-25,357
2018-04-26,375
2018-04-27,393
2018-04-28,287
2018-04-29,211
2018-04-30,338
2018-05-01,340
2018-05-02,327
2018-05-03,274
2018-05-04,356
2018-05-05,345
2018-05-06,337
2018-05-07,408
2018-05-08,336
2018-05-09,331
2018-05-10,388
2018-05-11,353
