monthly,monthly_accident
2018-01,10304
2018-02,9028
2018-03,9449
2018-04,9753
2018-05,10851
2018-06,11101
2018-07,10494
2018-08,9750
2018-09,10756
2018-10,10696
2018-11,10771
2018-12,9682
2019-01,9881
2019-02,9112
2019-03,9479
2019-04,9314
2019-05,9998
2019-06,9657
2019-07,10021
2019-08,9872
2019-09,10157
2019-10,10005
2019-11,10663
2019-12,9377
2020-01,9392
2020-02,7911
2020-03,5968
2020-04,5308
2020-05,6851
2020-06,7521
2020-07,8134
2020-08,8161
2020-09,8761
2020-10,8431
2020-11,7431
2020-12,7330
2021-01,6878
2021-02,6360
2021-03,7511
2021-04,8921
2021-05,9080
2021-06,8834
2021-07,9169
2021-08,8696
2021-09,9521
2021-10,9281
2021-11,8962
2021-12,7874
2022-01,9571
2022-02,7378
2022-03,8714
2022-04,8377
2022-05,9102
2022-06,9246
2022-07,9105
2022-08,8948
2022-09,8993
2022-10,9367
2022-11,9261
2022-12,7942
