accident_year,date,day_of_week,time,weekly,week_number
2018,2018-01-01,2,01:30,2018-01-01,1
2018,2018-01-01,2,00:45,2018-01-01,1
2018,2018-01-01,2,10:35,2018-01-01,1
2018,2018-01-01,2,02:20,2018-01-01,1
2018,2018-01-01,2,01:52,2018-01-01,1
2018,2018-01-01,2,05:47,2018-01-01,1
2018,2018-01-01,2,00:30,2018-01-01,1
2018,2018-01-01,2,03:00,2018-01-01,1
2018,2018-01-01,2,06:06,2018-01-01,1
2018,2018-01-01,2,07:00,2018-01-01,1
2018,2018-01-01,2,03:00,2018-01-01,1
2018,2018-01-01,2,06:54,2018-01-01,1
2018,2018-01-01,2,03:05,2018-01-01,1
2018,2018-01-01,2,18:41,2018-01-01,1
2018,2018-01-01,2,05:30,2018-01-01,1
2018,2018-01-01,2,05:23,2018-01-01,1
2018,2018-01-01,2,00:50,2018-01-01,1
2018,2018-01-01,2,10:45,2018-01-01,1
2018,2018-01-01,2,04:40,2018-01-01,1
2018,2018-01-01,2,12:45,2018-01-01,1
2018,2018-01-01,2,16:31,2018-01-01,1
2018,2018-01-01,2,17:18,2018-01-01,1
2018,2018-01-01,2,14:11,2018-01-01,1
2018,2018-01-01,2,15:20,2018-01-01,1
2018,2018-01-01,2,07:10,2018-01-01,1
2018,2018-01-01,2,20:55,2018-01-01,1
2018,2018-01-01,2,14:38,2018-01-01,1
2018,2018-01-01,2,20:35,2018-01-01,1
2018,2018-01-01,2,16:25,2018-01-01,1
2018,2018-01-01,2,22:05,2018-01-01,1
2018,2018-01-01,2,23:50,2018-01-01,1
2018,2018-01-01,2,02:49,2018-01-01,1
2018,2018-01-01,2,15:05,2018-01-01,1
2018,2018-01-01,2,17:00,2018-01-01,1
2018,2018-01-01,2,20:36,2018-01-01,1
2018,2018-01-01,2,22:10,2018-01-01,1
2018,2018-02-01,3,06:45,2018-02-05,5
2018,2018-02-01,3,06:46,2018-02-05,5
2018,2018-02-01,3,08:05,2018-02-05,5
2018,2018-02-01,3,13:00,2018-02-05,5
2018,2018-02-01,3,12:00,2018-02-05,5
2018,2018-02-01,3,13:15,2018-02-05,5
2018,2018-02-01,3,17:45,2018-02-05,5
2018,2018-02-01,3,16:20,2018-02-05,5
2018,2018-02-01,3,14:03,2018-02-05,5
2018,2018-02-01,3,15:28,2018-02-05,5
2018,2018-02-01,3,10:55,2018-02-05,5
2018,2018-02-01,3,03:51,2018-02-05,5
2018,2018-02-01,3,07:01,2018-02-05,5
2018,2018-02-01,3,14:04,2018-02-05,5
2018,2018-02-01,3,03:08,2018-02-05,5
2018,2018-02-01,3,12:55,2018-02-05,5
2018,2018-02-01,3,19:45,2018-02-05,5
2018,2018-02-01,3,17:07,2018-02-05,5
2018,2018-02-01,3,08:32,2018-02-05,5
2018,2018-02-01,3,14:18,2018-02-05,5
2018,2018-02-01,3,19:00,2018-02-05,5
2018,2018-02-01,3,21:59,2018-02-05,5
2018,2018-02-01,3,18:50,2018-02-05,5
2018,2018-02-01,3,21:10,2018-02-05,5
2018,2018-02-01,3,20:50,2018-02-05,5
2018,2018-02-01,3,20:11,2018-02-05,5
2018,2018-02-01,3,19:00,2018-02-05,5
2018,2018-02-01,3,20:00,2018-02-05,5
2018,2018-02-01,3,20:10,2018-02-05,5
2018,2018-02-01,3,17:35,2018-02-05,5
2018,2018-02-01,3,16:27,2018-02-05,5
2018,2018-03-01,4,09:01,2018-03-09,9
2018,2018-03-01,4,08:20,2018-03-09,9
2018,2018-03-01,4,10:00,2018-03-09,9
2018,2018-03-01,4,12:30,2018-03-09,9
2018,2018-03-01,4,00:51,2018-03-09,9
2018,2018-03-01,4,12:38,2018-03-09,9
2018,2018-03-01,4,11:00,2018-03-09,9
2018,2018-03-01,4,09:20,2018-03-09,9
2018,2018-03-01,4,08:50,2018-03-09,9
2018,2018-03-01,4,20:10,2018-03-09,9
2018,2018-03-01,4,02:20,2018-03-09,9
2018,2018-03-01,4,12:00,2018-03-09,9
2018,2018-03-01,4,07:20,2018-03-09,9
2018,2018-03-01,4,13:00,2018-03-09,9
2018,2018-03-01,4,01:50,2018-03-09,9
2018,2018-03-01,4,17:48,2018-03-09,9
2018,2018-03-01,4,14:00,2018-03-09,9
2018,2018-03-01,4,15:40,2018-03-09,9
2018,2018-03-01,4,15:42,2018-03-09,9
2018,2018-03-01,4,16:30,2018-03-09,9
2018,2018-03-01,4,15:19,2018-03-09,9
2018,2018-03-01,4,16:28,2018-03-09,9
2018,2018-03-01,4,17:28,2018-03-09,9
2018,2018-03-01,4,16:35,2018-03-09,9
2018,2018-03-01,4,20:00,2018-03-09,9
2018,2018-03-01,4,19:52,2018-03-09,9
2018,2018-03-01,4,16:55,2018-03-09,9
2018,2018-03-01,4,20:50,2018-03-09,9
2018,2018-03-01,4,15:15,2018-03-09,9
2018,2018-03-01,4,18:00,2018-03-09,9
2018,2018-03-01,4,15:52,2018-03-09,9
2018,2018-03-01,4,18:50,2018-03-09,9
2018,2018-03-01,4,07:55,2018-03-09,9
